#System variables:
#Boundary type: 2	Alpha = 0.600000
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	700.726851	0.721187	0.006912	0.000007
0.000	193512.786478	195.240551	1.908878	0.001926
0.050	616.919749	0.634165	0.006086	0.000006
0.050	168351.154306	169.832993	1.660675	0.001675
0.100	544.666418	0.558801	0.005373	0.000006
0.100	147479.216328	148.776395	1.454787	0.001468
0.150	486.448018	0.499050	0.004798	0.000005
0.150	129622.952083	131.138886	1.278647	0.001294
0.200	435.673028	0.446732	0.004298	0.000004
0.200	114685.288127	115.740759	1.131296	0.001142
0.250	391.454149	0.400390	0.003861	0.000004
0.250	101375.123700	102.168725	1.000000	0.001008
0.300	353.428185	0.360193	0.003486	0.000004
0.300	89991.110151	90.813728	0.887704	0.000896
0.350	319.757279	0.325160	0.003154	0.000003
0.350	79948.191862	80.549520	0.788637	0.000795
0.400	290.838211	0.295181	0.002869	0.000003
0.400	70896.351367	71.436014	0.699347	0.000705
0.450	264.287013	0.268217	0.002607	0.000003
0.450	62922.207018	63.370285	0.620687	0.000625
0.500	241.333887	0.244142	0.002381	0.000002
0.500	55683.334171	55.966301	0.549280	0.000552
0.550	220.505406	0.222598	0.002175	0.000002
0.550	49369.210323	49.795733	0.486995	0.000491
0.600	202.881689	0.204022	0.002001	0.000002
0.600	43513.898818	43.733651	0.429236	0.000431
0.650	186.677062	0.187685	0.001841	0.000002
0.650	38285.903844	38.510604	0.377666	0.000380
0.700	172.680193	0.173296	0.001703	0.000002
0.700	33630.333574	33.800958	0.331741	0.000333
0.750	161.603040	0.162034	0.001594	0.000002
0.750	29339.093151	29.430909	0.289411	0.000290
0.800	154.140054	0.154784	0.001520	0.000002
0.800	25486.970569	25.541104	0.251412	0.000252
0.850	22146.800531	22.201400	0.218464	0.000219
0.850	152.639872	0.154395	0.001506	0.000002
0.900	19259.876491	19.300993	0.189986	0.000190
0.900	165.253114	0.170587	0.001630	0.000002
0.950	16964.315912	16.986058	0.167342	0.000168
0.950	233.677215	0.252002	0.002305	0.000002
