#System variables:
#Boundary type: 2	Alpha = 0.700000
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	688.098635	0.708384	0.006792	0.000007
0.000	193352.048949	195.280392	1.908481	0.001928
0.050	605.882815	0.622656	0.005980	0.000006
0.050	168338.446732	169.713870	1.661584	0.001675
0.100	537.136049	0.550899	0.005302	0.000005
0.100	146901.119355	148.550674	1.449987	0.001466
0.150	479.262955	0.491174	0.004731	0.000005
0.150	129856.326711	131.054458	1.281747	0.001294
0.200	429.575854	0.438338	0.004240	0.000004
0.200	114488.360812	115.483540	1.130057	0.001140
0.250	386.420562	0.394373	0.003814	0.000004
0.250	101312.006089	102.270913	1.000000	0.001009
0.300	348.731978	0.355152	0.003442	0.000004
0.300	90037.759411	90.786850	0.888718	0.000896
0.350	316.444803	0.321627	0.003123	0.000003
0.350	79776.095272	80.328608	0.787430	0.000793
0.400	286.536904	0.290774	0.002828	0.000003
0.400	70773.115142	71.372651	0.698566	0.000704
0.450	260.563358	0.263616	0.002572	0.000003
0.450	62823.561091	63.341748	0.620100	0.000625
0.500	237.510492	0.240050	0.002344	0.000002
0.500	55660.696532	56.036596	0.549399	0.000553
0.550	217.572637	0.219530	0.002148	0.000002
0.550	49320.804910	49.671575	0.486821	0.000490
0.600	199.864584	0.201196	0.001973	0.000002
0.600	43433.541823	43.676738	0.428711	0.000431
0.650	184.126102	0.185078	0.001817	0.000002
0.650	38187.641646	38.438565	0.376931	0.000379
0.700	170.635750	0.171187	0.001684	0.000002
0.700	33596.064495	33.719676	0.331610	0.000333
0.750	159.720384	0.160110	0.001577	0.000002
0.750	29263.734517	29.414503	0.288848	0.000290
0.800	152.556852	0.153031	0.001506	0.000002
0.800	25522.373129	25.644025	0.251919	0.000253
0.850	22162.733464	22.202388	0.218757	0.000219
0.850	150.464568	0.152250	0.001485	0.000002
0.900	19209.796637	19.241989	0.189610	0.000190
0.900	163.057749	0.168274	0.001609	0.000002
0.950	16951.058963	16.956385	0.167315	0.000167
0.950	230.807490	0.249284	0.002278	0.000002
