#System variables:
#Boundary type: 2	Alpha = 0.900000
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	676.859902	0.693622	0.006682	0.000007
0.000	193061.240882	194.751325	1.905975	0.001923
0.050	595.163426	0.610631	0.005876	0.000006
0.050	167996.649927	169.619063	1.658528	0.001675
0.100	527.908034	0.539493	0.005212	0.000005
0.100	146953.756980	148.369013	1.450784	0.001465
0.150	470.588161	0.480692	0.004646	0.000005
0.150	129323.772175	130.649708	1.276734	0.001290
0.200	420.599443	0.429692	0.004152	0.000004
0.200	114320.064423	115.027364	1.128612	0.001136
0.250	378.776082	0.386153	0.003739	0.000004
0.250	101292.644426	102.066144	1.000000	0.001008
0.300	342.489728	0.348198	0.003381	0.000003
0.300	89848.273390	90.501819	0.887017	0.000893
0.350	309.582596	0.313830	0.003056	0.000003
0.350	79708.442349	80.487499	0.786912	0.000795
0.400	281.308765	0.284999	0.002777	0.000003
0.400	70747.760535	71.207990	0.698449	0.000703
0.450	255.841561	0.257921	0.002526	0.000003
0.450	62693.941636	63.067184	0.618939	0.000623
0.500	233.804111	0.235913	0.002308	0.000002
0.500	55642.841593	56.020521	0.549328	0.000553
0.550	213.678742	0.215184	0.002110	0.000002
0.550	49247.652765	49.509564	0.486192	0.000489
0.600	195.999091	0.196883	0.001935	0.000002
0.600	43342.017172	43.636666	0.427889	0.000431
0.650	180.505745	0.180786	0.001782	0.000002
0.650	38224.187660	38.473828	0.377364	0.000380
0.700	167.634306	0.167783	0.001655	0.000002
0.700	33446.278393	33.673972	0.330195	0.000332
0.750	156.923516	0.157008	0.001549	0.000002
0.750	29258.246533	29.412819	0.288849	0.000290
0.800	149.532369	0.149893	0.001476	0.000001
0.800	25437.586059	25.479943	0.251130	0.000252
0.850	22114.053684	22.174376	0.218318	0.000219
0.850	147.897661	0.149752	0.001460	0.000001
0.900	19201.130514	19.232811	0.189561	0.000190
0.900	160.109248	0.165496	0.001581	0.000002
0.950	16941.105448	16.926244	0.167249	0.000167
0.950	226.858965	0.244487	0.002240	0.000002
