#System variables:
#Boundary type: 2	Alpha = 0.800000
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	682.389895	0.701814	0.006740	0.000007
0.000	192783.009833	194.766192	1.904052	0.001924
0.050	599.306435	0.614183	0.005919	0.000006
0.050	167956.644968	169.549440	1.658851	0.001675
0.100	531.735561	0.545041	0.005252	0.000005
0.100	147223.009765	148.688074	1.454072	0.001469
0.150	474.566419	0.485842	0.004687	0.000005
0.150	129587.326529	130.651052	1.279890	0.001290
0.200	425.221959	0.433961	0.004200	0.000004
0.200	114029.007397	115.120541	1.126226	0.001137
0.250	382.256744	0.390390	0.003775	0.000004
0.250	101248.797080	102.319159	1.000000	0.001011
0.300	345.694988	0.351676	0.003414	0.000003
0.300	89832.436790	90.605637	0.887244	0.000895
0.350	312.871299	0.317372	0.003090	0.000003
0.350	79701.460117	80.347217	0.787184	0.000794
0.400	283.316979	0.287128	0.002798	0.000003
0.400	70682.908609	71.219526	0.698111	0.000703
0.450	257.810040	0.260777	0.002546	0.000003
0.450	62635.845029	63.079261	0.618633	0.000623
0.500	235.322332	0.237007	0.002324	0.000002
0.500	55699.309065	55.933105	0.550123	0.000552
0.550	215.419060	0.216732	0.002128	0.000002
0.550	49245.867123	49.585894	0.486385	0.000490
0.600	197.714667	0.198687	0.001953	0.000002
0.600	43431.439472	43.731452	0.428958	0.000432
0.650	182.319633	0.182387	0.001801	0.000002
0.650	38201.135620	38.478826	0.377300	0.000380
0.700	168.712696	0.169066	0.001666	0.000002
0.700	33558.474979	33.657271	0.331446	0.000332
0.750	157.946695	0.157745	0.001560	0.000002
0.750	29224.241670	29.358743	0.288638	0.000290
0.800	150.649455	0.151058	0.001488	0.000001
0.800	25485.156379	25.559363	0.251708	0.000252
0.850	22103.670653	22.182788	0.218310	0.000219
0.850	149.169187	0.151114	0.001473	0.000001
0.900	19236.795370	19.249983	0.189995	0.000190
0.900	161.572367	0.166793	0.001596	0.000002
0.950	16941.367773	16.971178	0.167324	0.000168
0.950	228.596021	0.246947	0.002258	0.000002
