#System variables:
#Boundary type: 2	Alpha = 0.500000
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	713.271821	0.735968	0.007010	0.000007
0.000	193626.202645	195.634067	1.902821	0.001923
0.050	627.566671	0.646720	0.006167	0.000006
0.050	168485.210385	169.997698	1.655753	0.001671
0.100	556.808267	0.573227	0.005472	0.000006
0.100	147993.196259	149.362778	1.454372	0.001468
0.150	495.847386	0.508966	0.004873	0.000005
0.150	130127.655715	131.297026	1.278802	0.001290
0.200	444.578213	0.455785	0.004369	0.000004
0.200	115046.221473	115.975251	1.130593	0.001140
0.250	399.747816	0.408992	0.003928	0.000004
0.250	101757.430577	102.621424	1.000000	0.001008
0.300	360.696202	0.368950	0.003545	0.000004
0.300	90093.817265	90.884702	0.885378	0.000893
0.350	326.673734	0.332524	0.003210	0.000003
0.350	80215.227960	80.873100	0.788298	0.000795
0.400	296.401502	0.302149	0.002913	0.000003
0.400	71064.592570	71.705425	0.698373	0.000705
0.450	269.663363	0.274022	0.002650	0.000003
0.450	63041.836493	63.482845	0.619531	0.000624
0.500	246.207824	0.249098	0.002420	0.000002
0.500	55802.305330	56.272308	0.548386	0.000553
0.550	225.190536	0.227836	0.002213	0.000002
0.550	49375.084482	49.586705	0.485223	0.000487
0.600	206.373455	0.207902	0.002028	0.000002
0.600	43620.895715	43.918934	0.428675	0.000432
0.650	190.000962	0.190849	0.001867	0.000002
0.650	38320.255336	38.537906	0.376584	0.000379
0.700	176.037766	0.176749	0.001730	0.000002
0.700	33567.209929	33.701385	0.329875	0.000331
0.750	164.603986	0.165313	0.001618	0.000002
0.750	29358.572973	29.497604	0.288515	0.000290
0.800	157.076743	0.157881	0.001544	0.000002
0.800	25558.845056	25.607229	0.251174	0.000252
0.850	22208.411588	22.242661	0.218249	0.000219
0.850	155.226813	0.157388	0.001525	0.000002
0.900	19323.243104	19.349564	0.189895	0.000190
0.900	168.142943	0.173849	0.001652	0.000002
0.950	16987.672809	16.984056	0.166943	0.000167
0.950	237.506289	0.256205	0.002334	0.000003
