#System variables:
#Boundary type: 2	Alpha = 0.300000
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	769.611344	0.800736	0.007514	0.000008
0.000	195113.823039	197.159198	1.904853	0.001925
0.050	676.902122	0.702532	0.006608	0.000007
0.050	170106.606374	171.550430	1.660713	0.001675
0.100	599.890589	0.622770	0.005857	0.000006
0.100	148719.499138	150.173505	1.451915	0.001466
0.150	535.487085	0.553305	0.005228	0.000005
0.150	131135.443623	132.504122	1.280246	0.001294
0.200	478.177167	0.493600	0.004668	0.000005
0.200	115576.503297	116.729749	1.128348	0.001140
0.250	431.476895	0.445251	0.004212	0.000004
0.250	102429.883222	103.503634	1.000000	0.001010
0.300	388.627378	0.399426	0.003794	0.000004
0.300	90807.027757	91.506420	0.886529	0.000893
0.350	351.816518	0.361384	0.003435	0.000004
0.350	80632.142280	81.282634	0.787194	0.000794
0.400	318.775448	0.326331	0.003112	0.000003
0.400	71529.445401	72.011252	0.698326	0.000703
0.450	290.145047	0.296428	0.002833	0.000003
0.450	63505.817566	64.113354	0.619993	0.000626
0.500	264.405621	0.269157	0.002581	0.000003
0.500	56279.580564	56.699254	0.549445	0.000554
0.550	241.731727	0.245472	0.002360	0.000002
0.550	49768.098884	50.303830	0.485875	0.000491
0.600	43860.559692	44.141683	0.428201	0.000431
0.600	221.269726	0.224111	0.002160	0.000002
0.650	38613.447584	38.875044	0.376974	0.000380
0.650	204.393749	0.206845	0.001995	0.000002
0.700	33827.820903	34.004075	0.330253	0.000332
0.700	189.470136	0.190925	0.001850	0.000002
0.750	29563.420960	29.715650	0.288621	0.000290
0.750	176.875147	0.178126	0.001727	0.000002
0.800	25731.720561	25.838587	0.251213	0.000252
0.800	168.107973	0.169499	0.001641	0.000002
0.850	22333.504888	22.353799	0.218037	0.000218
0.850	166.378971	0.168887	0.001624	0.000002
0.900	19439.524859	19.474621	0.189784	0.000190
0.900	179.935887	0.186167	0.001757	0.000002
0.950	17129.171846	17.167233	0.167228	0.000168
0.950	254.034008	0.274863	0.002480	0.000003
