#System variables:
#Boundary type: 2	Alpha = 0.200000
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	840.708466	0.882419	0.008139	0.000009
0.050	738.464600	0.774014	0.007149	0.000007
0.100	654.457069	0.683535	0.006336	0.000007
0.100	150065.983351	151.592542	1.452822	0.001468
0.150	582.942378	0.608588	0.005644	0.000006
0.150	131765.680718	132.960536	1.275653	0.001287
0.200	521.313286	0.543520	0.005047	0.000005
0.200	116541.339198	117.691773	1.128263	0.001139
0.250	469.896272	0.488960	0.004549	0.000005
0.250	103292.720843	104.200428	1.000000	0.001009
0.300	423.381187	0.439703	0.004099	0.000004
0.300	91620.483642	92.527456	0.886998	0.000896
0.350	383.079230	0.396871	0.003709	0.000004
0.350	81339.002516	82.024551	0.787461	0.000794
0.400	347.334622	0.358239	0.003363	0.000003
0.400	72078.242696	72.768493	0.697806	0.000704
0.450	316.043184	0.325346	0.003060	0.000003
0.450	64014.410425	64.535745	0.619738	0.000625
0.500	287.708327	0.295382	0.002785	0.000003
0.500	56733.119027	57.176521	0.549246	0.000554
0.550	263.102941	0.269336	0.002547	0.000003
0.550	50138.103163	50.462308	0.485398	0.000489
0.600	44303.959342	44.541815	0.428917	0.000431
0.600	241.725206	0.246256	0.002340	0.000002
0.650	38950.629113	39.244590	0.377090	0.000380
0.650	222.052391	0.226201	0.002150	0.000002
0.700	34169.204818	34.343661	0.330800	0.000332
0.700	205.711892	0.208696	0.001992	0.000002
0.750	29818.014032	29.970383	0.288675	0.000290
0.750	191.730452	0.194204	0.001856	0.000002
0.800	25981.551423	26.103322	0.251533	0.000253
0.800	182.626694	0.184980	0.001768	0.000002
0.850	22525.581291	22.608051	0.218075	0.000219
0.850	179.793206	0.183028	0.001741	0.000002
0.900	19596.850925	19.631755	0.189722	0.000190
0.900	194.392860	0.201234	0.001882	0.000002
0.950	17239.438290	17.255243	0.166899	0.000167
0.950	273.673995	0.295363	0.002649	0.000003
