#System variables:
#Boundary type: 2	Alpha = 0.400000
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	733.662230	0.758455	0.007208	0.000007
0.000	194297.762851	196.345949	1.908856	0.001929
0.050	647.130462	0.669458	0.006358	0.000007
0.050	169190.894731	170.925328	1.662197	0.001679
0.100	572.624624	0.591793	0.005626	0.000006
0.100	148120.672474	149.706135	1.455195	0.001471
0.150	510.241631	0.524902	0.005013	0.000005
0.150	130420.776136	131.731637	1.281304	0.001294
0.200	457.210983	0.470350	0.004492	0.000005
0.200	115282.547323	116.333745	1.132580	0.001143
0.250	411.795078	0.423020	0.004046	0.000004
0.250	101787.531942	102.825112	1.000000	0.001010
0.300	371.401323	0.381531	0.003649	0.000004
0.300	90400.139740	91.255237	0.888126	0.000897
0.350	335.757741	0.342616	0.003299	0.000003
0.350	80302.474385	80.955778	0.788923	0.000795
0.400	305.702662	0.311989	0.003003	0.000003
0.400	71153.401793	71.711541	0.699038	0.000705
0.450	277.031359	0.282198	0.002722	0.000003
0.450	63170.144889	63.549251	0.620608	0.000624
0.500	253.079114	0.256559	0.002486	0.000003
0.500	55915.752803	56.295989	0.549338	0.000553
0.550	231.206820	0.234187	0.002271	0.000002
0.550	49570.695177	49.945296	0.487002	0.000491
0.600	211.829806	0.214175	0.002081	0.000002
0.600	43710.815185	44.052310	0.429432	0.000433
0.650	195.094785	0.196155	0.001917	0.000002
0.650	38508.762381	38.749698	0.378325	0.000381
0.700	33699.135667	33.853160	0.331073	0.000333
0.700	180.971576	0.182023	0.001778	0.000002
0.750	29473.714252	29.588946	0.289561	0.000291
0.750	169.382511	0.170394	0.001664	0.000002
0.800	25630.971450	25.678620	0.251809	0.000252
0.800	161.308174	0.162410	0.001585	0.000002
0.850	22249.157526	22.272764	0.218584	0.000219
0.850	159.541244	0.161686	0.001567	0.000002
0.900	19356.363050	19.358666	0.190164	0.000190
0.900	172.513100	0.178174	0.001695	0.000002
0.950	17056.313172	17.080344	0.167568	0.000168
0.950	243.263914	0.262698	0.002390	0.000003
